time,site,site_type,latency_ms,jitter_ms,packet_list
2025-11-29T15:00:53-08:00,facebook.com,Social,2.909,0.204,3.231;2.672;2.823;2.910
2025-11-29T15:00:56-08:00,x.com,Social,3.726,0.175,3.957;3.769;3.710;3.467
2025-11-29T15:00:59-08:00,icloud.com,Cloud,2.141,0.201,2.401;1.983;1.912;2.267
2025-11-29T15:01:02-08:00,drive.google.com,Cloud,2.484,0.364,3.098;2.213;2.212;2.414
2025-11-29T15:01:05-08:00,youtube.com,VideoStreaming,2.326,0.173,2.609;2.268;2.141;2.285
2025-11-29T15:01:08-08:00,twitch.tv,VideoStreaming,2.663,0.323,3.154;2.654;2.597;2.248
2025-11-29T15:02:11-08:00,google.com,SearchEngine,2.378,0.287,2.860;2.100;2.266;2.286
2025-11-29T15:02:14-08:00,duckduckgo.com,SearchEngine,6.721,0.213,7.058;6.481;6.725;6.619
2025-11-29T15:02:17-08:00,chatgpt.com,AI,3.508,0.271,3.974;3.364;3.397;3.299
2025-11-29T15:02:20-08:00,claude.ai,AI,3.757,0.298,4.227;3.803;3.507;3.491
2025-11-29T15:02:23-08:00,cloudflare.com,CDN,3.687,0.294,4.118;3.697;3.645;3.289
2025-11-29T15:02:26-08:00,akamai.com,CDN,2.612,0.117,2.747;2.452;2.551;2.698
2025-11-29T15:02:29-08:00,facebook.com,Social,2.792,0.350,3.397;2.587;2.551;2.634
2025-11-29T15:02:32-08:00,x.com,Social,3.580,0.203,3.893;3.614;3.355;3.457
2025-11-29T15:02:35-08:00,icloud.com,Cloud,2.100,0.194,2.413;2.008;2.090;1.889
2025-11-29T15:02:38-08:00,drive.google.com,Cloud,3.944,2.571,2.649;2.554;8.387;2.185
2025-11-29T15:02:42-08:00,youtube.com,VideoStreaming,2.267,0.241,2.540;2.461;1.956;2.111
2025-11-29T15:02:45-08:00,twitch.tv,VideoStreaming,2.575,0.156,2.808;2.405;2.623;2.465
